base,offset,p,q,value,flip_to
0x3c23000,1016,0x3c00000,0x3c45000,0xbf,0
0x3c22000,480,0x3c00000,0x3c45000,0x1,1
0x3c22000,2506,0x3c00000,0x3c45000,0x20,1
0x3c23000,1016,0x3c01000,0x3c44000,0xbf,0
0x3c21000,2544,0x3c02000,0x3c46000,0xfd,0
0x3c21000,3074,0x3c02000,0x3c46000,0xfd,0
0x3c20000,3457,0x3c02000,0x3c46000,0x4,1
0x3c20000,3457,0x3c02000,0x3c47000,0x4,1
0x3c20000,3457,0x3c03000,0x3c47000,0x4,1
0x3c25000,1289,0x3c06000,0x3c43000,0xf7,0
0x3c25000,3562,0x3c06000,0x3c43000,0x80,1
0x3c24000,2298,0x3c07000,0x3c42000,0xef,0
0x3c24000,4048,0x3c07000,0x3c42000,0xfd,0
0x3c25000,3402,0x3c07000,0x3c42000,0xbf,0
0x3c25000,3562,0x3c07000,0x3c42000,0x80,1
0x3c24000,4048,0x3c07000,0x3c43000,0xfd,0
0x3c25000,1289,0x3c07000,0x3c43000,0xf7,0
0x3c25000,3402,0x3c07000,0x3c43000,0xbf,0
0x3c2d000,130,0x3c0e000,0x3c4b000,0x2,1
0x3c33000,3888,0x3c10000,0x3c54000,0xf7,0
0x3c32000,656,0x3c10000,0x3c54000,0x20,1
0x3c33000,1840,0x3c10000,0x3c54000,0x80,1
0x3c33000,2868,0x3c10000,0x3c55000,0xef,0
0x3c32000,656,0x3c10000,0x3c55000,0x20,1
0x3c32000,689,0x3c10000,0x3c55000,0x4,1
0x3c33000,1840,0x3c10000,0x3c55000,0x80,1
0x3c33000,2868,0x3c11000,0x3c54000,0xef,0
0x3c33000,3888,0x3c11000,0x3c54000,0xf7,0
0x3c32000,656,0x3c11000,0x3c54000,0x20,1
0x3c32000,1963,0x3c11000,0x3c54000,0x80,1
0x3c33000,1840,0x3c11000,0x3c54000,0x80,1
0x3c31000,1716,0x3c13000,0x3c57000,0xf7,0
0x3c46000,2977,0x3c20000,0x3c64000,0xfb,0
0x3c46000,2536,0x3c21000,0x3c64000,0xfe,0
0x3c44000,2528,0x3c22000,0x3c66000,0xfb,0
0x3c44000,1403,0x3c23000,0x3c67000,0xfb,0
0x3c44000,2528,0x3c23000,0x3c67000,0xfb,0
0x3c44000,2858,0x3c23000,0x3c67000,0xfe,0
0x3c45000,632,0x3c23000,0x3c67000,0xfb,0
0x3c42000,2016,0x3c25000,0x3c60000,0xfe,0
0x3c42000,2953,0x3c25000,0x3c60000,0x7f,0
0x3c49000,10,0x3c2f000,0x3c6b000,0x80,1
0x3c54000,379,0x3c32000,0x3c76000,0xfb,0
0x3c50000,1624,0x3c36000,0x3c73000,0xf7,0
0x3c50000,313,0x3c36000,0x3c73000,0x40,1
0x3c51000,3168,0x3c37000,0x3c72000,0x7f,0
0x3c50000,313,0x3c37000,0x3c72000,0x40,1
0x3c51000,3652,0x3c37000,0x3c73000,0xdf,0
0x3c66000,2312,0x3c45000,0x3c89000,0x1,1
0x3c66000,3555,0x3c45000,0x3c89000,0x1,1
0x3c67000,3761,0x3c45000,0x3c89000,0x1,1
0x3c64000,1987,0x3c46000,0x3c8b000,0x1,1
0x3c77000,1097,0x3c54000,0x3c99000,0xf7,0
0x3c77000,1320,0x3c54000,0x3c99000,0x20,1
0x3c76000,2584,0x3c55000,0x3c98000,0xef,0
0x3c77000,1097,0x3c55000,0x3c98000,0xf7,0
0x3c77000,1536,0x3c55000,0x3c98000,0xbf,0
0x3c8f000,1576,0x3c60000,0x3cac000,0xfb,0
0x3c94000,2948,0x3c7a000,0x3cb6000,0xef,0
0x3ca5000,3,0x3c86000,0x3cc3000,0xdf,0
0x3ca4000,586,0x3c87000,0x3cc3000,0x7f,0
0x3caa000,2992,0x3c88000,0x3ccc000,0xbf,0
0x3cae000,1970,0x3c8c000,0x3cc8000,0xbf,0
0x3cae000,1970,0x3c8c000,0x3cc9000,0xbf,0
0x3cb6000,2154,0x3c95000,0x3cd1000,0x7f,0
0x3cba000,3202,0x3c98000,0x3cdd000,0xfd,0
0x3cba000,58,0x3c98000,0x3cdd000,0x80,1
0x3cbb000,658,0x3c98000,0x3cdd000,0x20,1
0x3cba000,3202,0x3c99000,0x3cdd000,0xfd,0
0x3cba000,58,0x3c99000,0x3cdd000,0x80,1
0x3cbb000,658,0x3c99000,0x3cdd000,0x20,1
0x3ccc000,4060,0x3caa000,0x3cee000,0x7f,0
0x3ccd000,384,0x3caa000,0x3cee000,0x2,1
0x3ccc000,4060,0x3caa000,0x3cef000,0x7f,0
0x3ccc000,4060,0x3cab000,0x3cee000,0x7f,0
0x3ccd000,384,0x3cab000,0x3cee000,0x2,1
0x3ccc000,4060,0x3cab000,0x3cef000,0x7f,0
0x3ccd000,3043,0x3cab000,0x3cef000,0xdf,0
0x3ccd000,384,0x3cab000,0x3cef000,0x2,1
0x3cca000,2352,0x3cac000,0x3ce8000,0xdf,0
0x3cc8000,3368,0x3caf000,0x3ceb000,0xfe,0
0x3cd6000,515,0x3cb0000,0x3cf5000,0xbf,0
0x3cd6000,515,0x3cb1000,0x3cf4000,0xbf,0
0x3cd1000,3856,0x3cb6000,0x3cf3000,0x20,1
0x3d07000,1994,0x3cf8000,0x3d25000,0xfe,0
0x3d07000,1994,0x3cf9000,0x3d25000,0xfe,0
0x3d47000,1408,0x3d20000,0x3d64000,0xfe,0
0x3d67000,2664,0x3d44000,0x3d89000,0xbf,0
0x3d72000,1364,0x3d51000,0x3d9c000,0x80,1
0x3d8f000,128,0x3d60000,0x3dac000,0xfe,0
0x3d8f000,2240,0x3d60000,0x3dac000,0xfe,0
0x3d8f000,128,0x3d60000,0x3dad000,0xfe,0
0x3d8f000,128,0x3d61000,0x3dac000,0xfe,0
0x3d8f000,128,0x3d61000,0x3dad000,0xfe,0
0x3d8a000,585,0x3d65000,0x3da8000,0x2,1
0x3d8b000,3923,0x3d65000,0x3da9000,0xef,0
0x3d8a000,3683,0x3d65000,0x3da9000,0x40,1
0x3da8000,768,0x3d8b000,0x3dce000,0x20,1
0x3da9000,402,0x3d8b000,0x3dcf000,0xef,0
0x3db8000,2745,0x3d9a000,0x3ddf000,0x4,1
0x3db8000,2858,0x3d9a000,0x3ddf000,0x1,1
0x3ded000,2856,0x3dcf000,0x3e13000,0xfd,0
0x3dec000,873,0x3dcf000,0x3e13000,0x80,1
0x3dec000,3712,0x3dcf000,0x3e13000,0x80,1
0x3ded000,538,0x3dcf000,0x3e13000,0x20,1
0x3dfe000,1059,0x3ddc000,0x3e01000,0xfd,0
0x3dfe000,2419,0x3ddc000,0x3e01000,0x20,1
0x3e07000,3984,0x3df8000,0x3e24000,0x40,1
0x3e00000,881,0x3dff000,0x3e23000,0x7f,0
0x3e23000,665,0x3e00000,0x3e44000,0xbf,0
0x3e23000,665,0x3e00000,0x3e45000,0xbf,0
0x3e47000,1200,0x3e20000,0x3e64000,0xfb,0
0x3e46000,450,0x3e20000,0x3e64000,0x2,1
0x3e47000,1200,0x3e20000,0x3e65000,0xfb,0
0x3e57000,1057,0x3e30000,0x3e75000,0x7f,0
0x3e57000,80,0x3e30000,0x3e75000,0x2,1
0x3e57000,1057,0x3e31000,0x3e75000,0x7f,0
0x3e57000,80,0x3e31000,0x3e75000,0x2,1
0x3e57000,843,0x3e31000,0x3e75000,0x2,1
0x3ebe000,2910,0x3e9d000,0x3ed8000,0xef,0
0x3ebe000,304,0x3e9d000,0x3ed8000,0x4,1
0x3ebe000,800,0x3e9d000,0x3ed8000,0x80,1
0x3ebf000,128,0x3e9d000,0x3ed8000,0x4,1
0x3ebf000,2194,0x3e9d000,0x3ed8000,0x4,1
0x3ebf000,4056,0x3e9d000,0x3ed9000,0xbf,0
0x3ecd000,1842,0x3eaa000,0x3eef000,0xfe,0
0x3ede000,2890,0x3eb9000,0x3efd000,0xfe,0
0x3f22000,736,0x3f00000,0x3f44000,0x7f,0
