base,offset,p,q,value,flip_to,flips_page,flips_row
0x61ff000,2464,0x61dd000,0x6201000,0xef,0,1,1
0x6216000,2488,0x61e9000,0x6235000,0xfe,0,1,2
0x6217000,3816,0x61e9000,0x6235000,0xfb,0,1,2
0x6214000,2985,0x61ea000,0x6236000,0xdf,0,1,1
0x6222000,3835,0x6200000,0x6244000,0xbf,0,1,2
0x6223000,65,0x6200000,0x6244000,0xef,0,1,2
0x6220000,2899,0x6203000,0x6247000,0x1,1,1,1
0x6226000,2961,0x6204000,0x6240000,0xbf,0,1,1
0x622a000,482,0x6208000,0x624c000,0xdf,0,1,1
0x6230000,2280,0x6213000,0x6256000,0x4,1,1,1
0x6230000,3962,0x6213000,0x6257000,0xef,0,2,2
0x6230000,4056,0x6213000,0x6257000,0xbf,0,2,2
0x6247000,2576,0x6220000,0x6264000,0x7f,0,1,1
0x6244000,443,0x6222000,0x6266000,0x40,1,2,2
0x6244000,1226,0x6222000,0x6266000,0x8,1,2,2
0x6245000,2440,0x6222000,0x6267000,0xfe,0,1,1
0x625f000,3666,0x6238000,0x627d000,0xfd,0,1,1
0x625f000,3666,0x6239000,0x627c000,0xfd,0,1,1
0x626e000,1026,0x624c000,0x6280000,0x10,1,1,1
0x6272000,1730,0x6251000,0x629c000,0xfd,0,1,1
0x628e000,3768,0x6260000,0x62ac000,0x7f,0,1,1
0x628e000,4072,0x6260000,0x62ad000,0xdf,0,1,1
0x628e000,1091,0x6261000,0x62ac000,0xfb,0,1,1
0x628e000,3768,0x6261000,0x62ad000,0x7f,0,1,1
0x628c000,1656,0x6262000,0x62ae000,0x7f,0,1,1
0x6298000,1624,0x6277000,0x62ba000,0xfe,0,1,2
0x6299000,1665,0x6277000,0x62ba000,0xfe,0,1,2
0x6298000,928,0x6277000,0x62bb000,0xfb,0,2,3
0x6298000,1688,0x6277000,0x62bb000,0xdf,0,2,3
0x6299000,1712,0x6277000,0x62bb000,0xfe,0,1,3
0x62b8000,3144,0x629b000,0x62de000,0xbf,0,1,1
0x62b8000,3144,0x629b000,0x62df000,0xbf,0,1,1
0x62c3000,1730,0x62a4000,0x62e1000,0xbf,0,1,1
0x62ca000,2040,0x62ac000,0x62e8000,0x7f,0,1,1
0x62ca000,258,0x62ad000,0x62e9000,0xfb,0,3,3
0x62ca000,2040,0x62ad000,0x62e9000,0x7f,0,3,3
0x62ca000,2122,0x62ad000,0x62e9000,0x7f,0,3,3
0x62c9000,2404,0x62af000,0x62ea000,0x7f,0,1,1
0x62c9000,2404,0x62af000,0x62eb000,0x7f,0,1,1
0x62ee000,3144,0x62cd000,0x6311000,0xbf,0,1,1
0x62f9000,1624,0x62da000,0x6307000,0xf7,0,1,1
0x62f8000,2168,0x62db000,0x6306000,0xef,0,1,2
0x62f9000,3242,0x62db000,0x6306000,0xbf,0,1,2
0x62fe000,496,0x62dc000,0x6300000,0xfd,0,1,1
0x62fe000,496,0x62dc000,0x6301000,0xfd,0,2,3
0x62fe000,2145,0x62dc000,0x6301000,0xef,0,2,3
0x62ff000,3771,0x62dc000,0x6301000,0xbf,0,1,3
0x6307000,2456,0x62f8000,0x6324000,0x2,1,1,1
0x6307000,448,0x62f8000,0x6325000,0x7f,0,1,1
0x632e000,3802,0x630d000,0x6348000,0xdf,0,1,1
0x632e000,3802,0x630d000,0x6349000,0xdf,0,1,1
0x633d000,594,0x631e000,0x635a000,0xfb,0,1,1
0x633d000,594,0x631e000,0x635b000,0xfb,0,1,1
0x6347000,1699,0x6320000,0x6364000,0x7f,0,1,1
0x6347000,1032,0x6320000,0x6365000,0xfb,0,2,2
0x6347000,2208,0x6320000,0x6365000,0xfb,0,2,2
0x6346000,3611,0x6321000,0x6364000,0xfe,0,1,2
0x6347000,1699,0x6321000,0x6364000,0x7f,0,1,2
0x6347000,1032,0x6321000,0x6365000,0xfb,0,2,2
0x6347000,2208,0x6321000,0x6365000,0xfb,0,2,2
0x6341000,3632,0x6326000,0x6362000,0x7f,0,1,1
0x6349000,3698,0x632f000,0x636b000,0xbf,0,1,1
0x6357000,931,0x6330000,0x6374000,0xfe,0,1,1
0x6357000,931,0x6330000,0x6375000,0xfe,0,1,1
0x6357000,931,0x6331000,0x6374000,0xfe,0,1,1
0x6357000,931,0x6331000,0x6375000,0xfe,0,1,1
0x6350000,3578,0x6336000,0x6373000,0xfe,0,1,1
0x6351000,1142,0x6337000,0x6372000,0xfb,0,1,1
0x6350000,553,0x6337000,0x6373000,0xdf,0,3,4
0x6350000,2986,0x6337000,0x6373000,0x7f,0,3,4
0x6350000,3578,0x6337000,0x6373000,0xfe,0,3,4
0x6351000,1142,0x6337000,0x6373000,0xfb,0,1,4
0x6375000,1307,0x6357000,0x639a000,0xf7,0,1,1
0x6375000,1307,0x6357000,0x639b000,0xf7,0,2,2
0x6375000,2080,0x6357000,0x639b000,0xf7,0,2,2
0x63ae000,1016,0x638c000,0x63c9000,0xef,0,1,1
0x63ae000,1016,0x638d000,0x63c8000,0xef,0,1,2
0x63af000,2714,0x638d000,0x63c8000,0xf7,0,1,2
0x63ae000,1016,0x638d000,0x63c9000,0xef,0,1,1
0x6413000,3624,0x63ec000,0x6431000,0xfe,0,1,1
0x6413000,3624,0x63ed000,0x6430000,0xfe,0,1,1
0x6413000,2291,0x63ed000,0x6431000,0xdf,0,2,2
0x6413000,3624,0x63ed000,0x6431000,0xfe,0,2,2
0x6421000,2640,0x6402000,0x6446000,0xf7,0,1,1
0x6420000,2872,0x6402000,0x6447000,0xef,0,2,3
0x6420000,3136,0x6402000,0x6447000,0xfb,0,2,3
0x6421000,2640,0x6402000,0x6447000,0xf7,0,1,3
0x6420000,994,0x6403000,0x6446000,0xbf,0,4,5
0x6420000,1176,0x6403000,0x6446000,0xbf,0,4,5
0x6420000,2872,0x6403000,0x6446000,0xef,0,4,5
0x6420000,3136,0x6403000,0x6446000,0xfb,0,4,5
0x6421000,2640,0x6403000,0x6446000,0xf7,0,1,5
0x6420000,3136,0x6403000,0x6447000,0xfb,0,1,3
0x6421000,2640,0x6403000,0x6447000,0xf7,0,2,3
0x6421000,2993,0x6403000,0x6447000,0xfd,0,2,3
0x6424000,1800,0x6406000,0x6443000,0xef,0,1,1
0x6424000,1800,0x6407000,0x6442000,0xef,0,1,1
0x6447000,1808,0x6420000,0x6464000,0xfe,0,1,1
0x6440000,3896,0x6427000,0x6462000,0xfb,0,1,1
0x6440000,713,0x6427000,0x6463000,0xfb,0,2,2
0x6440000,3890,0x6427000,0x6463000,0xfb,0,2,2
0x644e000,1946,0x6428000,0x646c000,0xfd,0,1,1
0x6457000,112,0x6430000,0x6474000,0xfb,0,1,1
0x6456000,3859,0x6430000,0x6475000,0x7f,0,1,3
0x6457000,112,0x6430000,0x6475000,0xfb,0,2,3
0x6457000,2851,0x6430000,0x6475000,0xdf,0,2,3
0x6456000,3859,0x6431000,0x6474000,0x7f,0,1,3
0x6457000,112,0x6431000,0x6474000,0xfb,0,2,3
0x6457000,2851,0x6431000,0x6474000,0xdf,0,2,3
0x6457000,112,0x6431000,0x6475000,0xfb,0,1,1
0x6454000,3248,0x6432000,0x6476000,0xfb,0,1,2
0x6455000,2368,0x6432000,0x6476000,0x7f,0,1,2
0x6462000,146,0x6440000,0x648c000,0xfd,0,3,4
0x6462000,2200,0x6440000,0x648c000,0xef,0,3,4
0x6462000,3408,0x6440000,0x648c000,0xef,0,3,4
0x6463000,1292,0x6440000,0x648c000,0xfd,0,1,4
0x648e000,3552,0x6460000,0x64ac000,0xdf,0,1,1
0x648e000,3552,0x6460000,0x64ad000,0xdf,0,1,1
0x648a000,1592,0x6464000,0x64a9000,0xfb,0,1,1
0x648a000,1592,0x6465000,0x64a8000,0xfb,0,1,1
0x648a000,1592,0x6465000,0x64a9000,0xfb,0,1,1
0x6488000,508,0x6466000,0x64aa000,0xdf,0,1,1
0x649e000,2406,0x6471000,0x64bc000,0x10,1,1,1
0x649e000,3019,0x6471000,0x64bd000,0x7f,0,1,1
0x649c000,16,0x6472000,0x64be000,0x2,1,1,1
0x649a000,226,0x6474000,0x64b9000,0x7f,0,3,4
0x649a000,1632,0x6474000,0x64b9000,0xdf,0,3,4
0x649a000,3497,0x6474000,0x64b9000,0xfe,0,3,4
0x649b000,3601,0x6474000,0x64b9000,0xfe,0,1,4
0x649a000,226,0x6475000,0x64b9000,0x7f,0,2,3
0x649a000,3497,0x6475000,0x64b9000,0xfe,0,2,3
0x649b000,3601,0x6475000,0x64b9000,0xfe,0,1,3
0x6499000,2641,0x6476000,0x64ba000,0xdf,0,1,1
0x6499000,2641,0x6476000,0x64bb000,0xdf,0,1,1
0x6499000,2641,0x6477000,0x64bb000,0xdf,0,1,1
0x64ad000,96,0x648f000,0x64ca000,0xbf,0,2,2
0x64ad000,338,0x648f000,0x64ca000,0xef,0,2,2
0x64ad000,96,0x648f000,0x64cb000,0xbf,0,1,1
0x64ba000,912,0x6498000,0x64dd000,0x20,1,1,3
0x64bb000,528,0x6498000,0x64dd000,0x20,1,2,3
0x64bb000,2482,0x6498000,0x64dd000,0x80,1,2,3
0x64bd000,4067,0x649e000,0x64db000,0xbf,0,1,1
0x64bc000,1848,0x649f000,0x64da000,0xfd,0,1,3
0x64bd000,1699,0x649f000,0x64da000,0xf7,0,2,3
0x64bd000,4067,0x649f000,0x64da000,0xbf,0,2,3
0x64bd000,1699,0x649f000,0x64db000,0xf7,0,2,2
0x64bd000,4067,0x649f000,0x64db000,0xbf,0,2,2
0x64c3000,1258,0x64a4000,0x64e1000,0x1,1,1,1
0x64cd000,2168,0x64ab000,0x64ee000,0xdf,0,1,1
0x64cd000,2168,0x64ab000,0x64ef000,0xdf,0,2,2
0x64cd000,2315,0x64ab000,0x64ef000,0xfe,0,2,2
0x64ea000,160,0x64c8000,0x6515000,0x20,1,1,1
0x64ea000,160,0x64c9000,0x6514000,0x20,1,1,1
0x6502000,3601,0x64fd000,0x6521000,0x10,1,1,1
0x6500000,3900,0x64fe000,0x6522000,0xfe,0,1,1
0x6500000,3083,0x64ff000,0x6523000,0x7f,0,1,1
0x6522000,1888,0x6500000,0x6544000,0xbf,0,1,1
0x6522000,1888,0x6500000,0x6545000,0xbf,0,1,1
0x6547000,3179,0x6520000,0x6564000,0x7f,0,2,2
0x6547000,3867,0x6520000,0x6564000,0xdf,0,2,2
0x6543000,3632,0x6525000,0x6560000,0xdf,0,1,1
0x6549000,322,0x652e000,0x656a000,0xef,0,1,1
0x6548000,2809,0x652f000,0x656a000,0x80,1,1,2
0x6549000,3025,0x652f000,0x656a000,0x20,1,1,2
0x6549000,322,0x652f000,0x656b000,0xef,0,1,1
0x6556000,3704,0x6531000,0x6574000,0xfb,0,1,3
0x6557000,1312,0x6531000,0x6574000,0x40,1,2,3
0x6557000,2721,0x6531000,0x6574000,0x8,1,2,3
0x6555000,3112,0x6532000,0x6576000,0x7f,0,1,1
0x6555000,3112,0x6532000,0x6577000,0x7f,0,1,1
0x6553000,715,0x6534000,0x6571000,0xfb,0,1,1
0x6553000,715,0x6535000,0x6570000,0xfb,0,1,1
0x6553000,715,0x6535000,0x6571000,0xfb,0,1,1
0x6558000,3281,0x653e000,0x657b000,0xf7,0,1,1
0x6563000,1105,0x6541000,0x658d000,0x80,1,2,2
0x6563000,3992,0x6541000,0x658d000,0x80,1,2,2
0x656f000,2371,0x654d000,0x6580000,0x8,1,1,1
0x6571000,1944,0x6552000,0x659e000,0x20,1,1,1
0x6571000,2050,0x6552000,0x659f000,0xef,0,2,3
0x6571000,2890,0x6552000,0x659f000,0xbf,0,2,3
0x6571000,1944,0x6552000,0x659f000,0x20,1,1,3
0x6571000,1944,0x6553000,0x659e000,0x20,1,1,1
0x6576000,1262,0x6554000,0x6598000,0xbf,0,1,4
0x6577000,1224,0x6554000,0x6598000,0xf7,0,3,4
0x6577000,2392,0x6554000,0x6598000,0xbf,0,3,4
0x6577000,3432,0x6554000,0x6598000,0xf7,0,3,4
0x6574000,3440,0x6556000,0x659a000,0xef,0,1,2
0x6575000,1560,0x6556000,0x659a000,0xbf,0,1,2
0x6574000,3440,0x6556000,0x659b000,0xef,0,1,2
0x6575000,1560,0x6556000,0x659b000,0xbf,0,1,2
0x6574000,3440,0x6557000,0x659a000,0xef,0,1,2
0x6575000,1560,0x6557000,0x659a000,0xbf,0,1,2
0x6574000,3440,0x6557000,0x659b000,0xef,0,1,2
0x6575000,1560,0x6557000,0x659b000,0xbf,0,1,2
0x657c000,3422,0x655e000,0x6593000,0x7f,0,1,1
0x658e000,208,0x6560000,0x65ac000,0xdf,0,1,1
0x658e000,208,0x6560000,0x65ad000,0xdf,0,1,1
0x658e000,208,0x6561000,0x65ac000,0xdf,0,1,1
0x658e000,208,0x6561000,0x65ad000,0xdf,0,1,1
0x659f000,265,0x6570000,0x65bc000,0x7f,0,1,1
0x659e000,2888,0x6570000,0x65bd000,0x7f,0,1,2
0x659f000,265,0x6570000,0x65bd000,0x7f,0,1,2
0x659f000,265,0x6571000,0x65bc000,0x7f,0,1,1
0x659d000,3403,0x6572000,0x65bf000,0x10,1,1,1
0x659c000,2601,0x6573000,0x65bf000,0xfb,0,1,1
0x659b000,676,0x6574000,0x65b8000,0xfb,0,1,1
0x659b000,676,0x6574000,0x65b9000,0xfb,0,1,3
0x659b000,1824,0x6574000,0x65b9000,0x40,1,2,3
0x659b000,3404,0x6574000,0x65b9000,0x40,1,2,3
0x659a000,3464,0x6575000,0x65b8000,0xfb,0,1,2
0x659b000,676,0x6575000,0x65b8000,0xfb,0,1,2
0x659b000,676,0x6575000,0x65b9000,0xfb,0,1,1
0x6598000,1744,0x6576000,0x65ba000,0xfe,0,1,3
0x6599000,2010,0x6576000,0x65ba000,0x2,1,2,3
0x6599000,2626,0x6576000,0x65ba000,0x2,1,2,3
0x6599000,2010,0x6576000,0x65bb000,0x2,1,1,1
0x6599000,2010,0x6577000,0x65bb000,0x2,1,2,2
0x6599000,2626,0x6577000,0x65bb000,0x2,1,2,2
0x6597000,602,0x6578000,0x65b4000,0xbf,0,1,1
0x6597000,602,0x6578000,0x65b5000,0xbf,0,1,1
0x6597000,602,0x6579000,0x65b4000,0xbf,0,1,1
0x6597000,602,0x6579000,0x65b5000,0xbf,0,1,1
0x6594000,490,0x657a000,0x65b6000,0xf7,0,1,1
0x6594000,490,0x657b000,0x65b7000,0xf7,0,1,1
0x65a2000,3514,0x6580000,0x65c4000,0xfb,0,1,2
0x65a3000,482,0x6580000,0x65c4000,0xdf,0,1,2
0x65a2000,3514,0x6580000,0x65c5000,0xfb,0,1,1
0x65a2000,3514,0x6581000,0x65c4000,0xfb,0,1,1
0x65a2000,3514,0x6581000,0x65c5000,0xfb,0,1,2
0x65a3000,482,0x6581000,0x65c5000,0xdf,0,1,2
0x65ab000,2011,0x6588000,0x65cc000,0xf7,0,1,1
0x65ab000,2011,0x6588000,0x65cd000,0xf7,0,1,1
0x65aa000,3608,0x6589000,0x65cc000,0xbf,0,1,2
0x65ab000,2011,0x6589000,0x65cc000,0xf7,0,1,2
0x65ab000,2011,0x6589000,0x65cd000,0xf7,0,1,1
0x65ad000,1064,0x658f000,0x65cb000,0xef,0,1,1
0x65b4000,4050,0x6597000,0x65d2000,0xdf,0,1,2
0x65b5000,3466,0x6597000,0x65d2000,0xfe,0,1,2
0x65b9000,1330,0x659a000,0x65df000,0xfd,0,1,1
0x65b9000,1330,0x659b000,0x65de000,0xfd,0,1,1
0x65b9000,1330,0x659b000,0x65df000,0xfd,0,1,1
0x65bf000,3944,0x659c000,0x65d8000,0xf7,0,1,1
0x65bf000,2536,0x659d000,0x65d8000,0x80,1,1,1
0x65bf000,3944,0x659d000,0x65d9000,0xf7,0,1,1
0x65bc000,3,0x659e000,0x65da000,0xf7,0,1,2
0x65bc000,707,0x659e000,0x65da000,0x80,1,1,2
0x65bc000,3,0x659e000,0x65db000,0xf7,0,1,1
0x65bc000,3,0x659f000,0x65da000,0xf7,0,1,1
0x65bc000,3,0x659f000,0x65db000,0xf7,0,1,1
0x65ce000,3832,0x65a8000,0x65ec000,0xdf,0,1,1
0x65ce000,3832,0x65a8000,0x65ed000,0xdf,0,1,1
0x65ce000,3832,0x65a9000,0x65ec000,0xdf,0,1,1
0x65ce000,3832,0x65a9000,0x65ed000,0xdf,0,1,1
0x65cd000,2000,0x65aa000,0x65ee000,0xfe,0,2,2
0x65cd000,3216,0x65aa000,0x65ee000,0xfe,0,2,2
0x65cc000,1010,0x65aa000,0x65ef000,0xdf,0,1,3
0x65cd000,2000,0x65aa000,0x65ef000,0xfe,0,2,3
0x65cd000,3216,0x65aa000,0x65ef000,0xfe,0,2,3
0x65cc000,1010,0x65ab000,0x65ee000,0xdf,0,1,4
0x65cd000,2000,0x65ab000,0x65ee000,0xfe,0,3,4
0x65cd000,2505,0x65ab000,0x65ee000,0x7f,0,3,4
0x65cd000,3216,0x65ab000,0x65ee000,0xfe,0,3,4
0x65cd000,2000,0x65ab000,0x65ef000,0xfe,0,2,2
0x65cd000,3216,0x65ab000,0x65ef000,0xfe,0,2,2
0x65c8000,3680,0x65af000,0x65ea000,0x2,1,1,1
0x65db000,3330,0x65bc000,0x65f8000,0x7f,0,1,1
0x65db000,3330,0x65bd000,0x65f9000,0x7f,0,1,3
0x65da000,2122,0x65bd000,0x65f9000,0x8,1,1,3
0x65db000,938,0x65bd000,0x65f9000,0x40,1,1,3
0x65ea000,960,0x65c8000,0x6615000,0xbf,0,1,4
0x65eb000,290,0x65c8000,0x6615000,0x20,1,3,4
0x65eb000,681,0x65c8000,0x6615000,0x80,1,3,4
0x65eb000,2337,0x65c8000,0x6615000,0x80,1,3,4
0x65ea000,960,0x65c9000,0x6614000,0xbf,0,2,3
0x65ea000,995,0x65c9000,0x6614000,0xef,0,2,3
0x65eb000,681,0x65c9000,0x6614000,0x80,1,1,3
0x65ea000,960,0x65c9000,0x6615000,0xbf,0,1,1
0x65e8000,2144,0x65ca000,0x6616000,0xbf,0,1,1
0x65e8000,2144,0x65ca000,0x6617000,0xbf,0,1,2
0x65e8000,1976,0x65ca000,0x6617000,0x80,1,1,2
0x65e8000,2144,0x65cb000,0x6616000,0xbf,0,1,1
0x65e8000,2144,0x65cb000,0x6617000,0xbf,0,1,1
0x65ef000,2251,0x65cc000,0x6610000,0xf7,0,1,1
0x65ee000,832,0x65cc000,0x6611000,0xef,0,3,3
0x65ee000,1673,0x65cc000,0x6611000,0xbf,0,3,3
0x65ee000,2672,0x65cc000,0x6611000,0xef,0,3,3
0x65ee000,832,0x65cd000,0x6610000,0xef,0,2,2
0x65ee000,2672,0x65cd000,0x6610000,0xef,0,2,2
0x65ee000,832,0x65cd000,0x6611000,0xef,0,3,3
0x65ee000,1673,0x65cd000,0x6611000,0xbf,0,3,3
0x65ee000,2672,0x65cd000,0x6611000,0xef,0,3,3
0x65ec000,1809,0x65ce000,0x6612000,0xbf,0,1,2
0x65ed000,2184,0x65ce000,0x6612000,0xef,0,1,2
0x65ec000,1809,0x65ce000,0x6613000,0xbf,0,1,3
0x65ed000,2184,0x65ce000,0x6613000,0xef,0,2,3
0x65ed000,3224,0x65ce000,0x6613000,0xbf,0,2,3
0x65ec000,1809,0x65cf000,0x6612000,0xbf,0,1,5
0x65ed000,2184,0x65cf000,0x6612000,0xef,0,2,5
0x65ed000,3224,0x65cf000,0x6612000,0xbf,0,2,5
0x65ec000,1489,0x65cf000,0x6612000,0x20,1,2,5
0x65ec000,2840,0x65cf000,0x6612000,0x80,1,2,5
0x65ec000,1809,0x65cf000,0x6613000,0xbf,0,1,3
0x65ed000,2184,0x65cf000,0x6613000,0xef,0,2,3
0x65ed000,3224,0x65cf000,0x6613000,0xbf,0,2,3
0x6614000,3600,0x65eb000,0x6636000,0xfb,0,1,1
0x6613000,2604,0x65ec000,0x6630000,0xfb,0,1,1
0x6613000,2604,0x65ec000,0x6631000,0xfb,0,1,1
0x6613000,2604,0x65ed000,0x6631000,0xfb,0,1,1
0x6611000,1352,0x65ee000,0x6633000,0xfb,0,1,1
0x6606000,2760,0x65f9000,0x6624000,0x8,1,1,2
0x6607000,346,0x65f9000,0x6624000,0x2,1,1,2
0x6607000,346,0x65f9000,0x6625000,0x2,1,1,1
0x6603000,1552,0x65fc000,0x6620000,0x7f,0,1,1
0x6602000,83,0x65fc000,0x6621000,0x7f,0,1,2
0x6603000,1552,0x65fc000,0x6621000,0x7f,0,1,2
0x6603000,1552,0x65fd000,0x6620000,0x7f,0,1,1
0x6603000,1552,0x65fd000,0x6621000,0x7f,0,1,1
0x6600000,1512,0x65fe000,0x6623000,0xdf,0,1,3
0x6601000,3280,0x65fe000,0x6623000,0xdf,0,1,3
0x6601000,2610,0x65fe000,0x6623000,0x8,1,1,3
0x6622000,306,0x6600000,0x6644000,0xbf,0,1,1
0x6622000,306,0x6601000,0x6645000,0xbf,0,1,1
0x662f000,1241,0x660d000,0x6648000,0x2,1,1,1
0x6632000,1552,0x6610000,0x6654000,0x80,1,1,1
0x6636000,3728,0x6614000,0x6650000,0x4,1,1,1
0x6636000,3728,0x6614000,0x6651000,0x4,1,1,1
0x6635000,1808,0x6616000,0x6652000,0xef,0,1,2
0x6634000,315,0x6616000,0x6652000,0x4,1,1,2
0x6635000,1808,0x6616000,0x6653000,0xef,0,1,1
0x6635000,1808,0x6617000,0x6652000,0xef,0,1,2
0x6635000,2522,0x6617000,0x6652000,0x4,1,1,2
0x6635000,1808,0x6617000,0x6653000,0xef,0,1,1
0x663a000,3978,0x6618000,0x665d000,0x8,1,1,1
0x663e000,1979,0x661c000,0x6658000,0x7f,0,1,1
0x663e000,1979,0x661c000,0x6659000,0x7f,0,1,1
0x663e000,1979,0x661d000,0x6658000,0x7f,0,1,1
0x663e000,1979,0x661d000,0x6659000,0x7f,0,1,1
0x663d000,3723,0x661e000,0x665b000,0xfb,0,1,1
0x663d000,3723,0x661f000,0x665b000,0xfb,0,1,1
0x6647000,440,0x6620000,0x6664000,0x7f,0,1,1
0x6647000,440,0x6620000,0x6665000,0x7f,0,1,1
0x664e000,3154,0x6629000,0x666d000,0xf7,0,1,1
0x664c000,769,0x662b000,0x666f000,0x1,1,1,1
0x6648000,2777,0x662f000,0x666a000,0x4,1,1,1
0x6663000,2836,0x6640000,0x668c000,0xf7,0,1,1
0x6663000,2836,0x6640000,0x668d000,0xf7,0,1,1
0x6677000,34,0x6654000,0x6699000,0xef,0,1,1
0x6677000,34,0x6655000,0x6698000,0xef,0,1,1
0x6677000,34,0x6655000,0x6699000,0xef,0,1,1
0x668f000,2840,0x6660000,0x66ac000,0xdf,0,1,1
0x669d000,2744,0x6672000,0x66bf000,0xdf,0,1,1
0x669a000,827,0x6674000,0x66b8000,0xdf,0,1,1
0x669a000,827,0x6674000,0x66b9000,0xdf,0,1,1
0x669a000,827,0x6675000,0x66b8000,0xdf,0,1,1
0x669a000,827,0x6675000,0x66b9000,0xdf,0,1,2
0x669a000,2368,0x6675000,0x66b9000,0x8,1,1,2
0x66a7000,2763,0x6684000,0x66c1000,0xdf,0,1,1
0x66a6000,2946,0x6685000,0x66c0000,0xfb,0,1,1
0x66a8000,2696,0x668a000,0x66ce000,0x20,1,1,2
0x66a9000,344,0x668a000,0x66ce000,0x20,1,1,2
0x66a9000,880,0x668a000,0x66cf000,0xbf,0,1,3
0x66a8000,2696,0x668a000,0x66cf000,0x20,1,1,3
0x66a9000,344,0x668a000,0x66cf000,0x20,1,1,3
0x66a8000,2696,0x668b000,0x66ce000,0x20,1,1,2
0x66a9000,344,0x668b000,0x66ce000,0x20,1,1,2
0x66ae000,2168,0x668d000,0x66c8000,0x1,1,2,3
0x66ae000,3312,0x668d000,0x66c8000,0x20,1,2,3
0x66af000,873,0x668d000,0x66c8000,0x20,1,1,3
0x66ac000,216,0x668e000,0x66cb000,0x80,1,1,1
0x66b4000,3962,0x6697000,0x66d2000,0xfe,0,1,1
0x66b4000,3962,0x6697000,0x66d3000,0xfe,0,1,1
0x66c2000,4018,0x66a4000,0x66e1000,0xfd,0,1,2
0x66c3000,1850,0x66a4000,0x66e1000,0x4,1,1,2
0x66c2000,4018,0x66a5000,0x66e0000,0xfd,0,1,1
0x66cb000,1930,0x66ac000,0x66e8000,0xfb,0,1,1
0x66cb000,1930,0x66ac000,0x66e9000,0xfb,0,1,1
0x66d7000,112,0x66b0000,0x66f4000,0xef,0,1,1
0x66d7000,112,0x66b0000,0x66f5000,0xef,0,1,1
0x66d7000,112,0x66b1000,0x66f4000,0xef,0,1,1
0x66d7000,112,0x66b1000,0x66f5000,0xef,0,1,1
0x66d4000,1922,0x66b2000,0x66f6000,0xbf,0,1,2
0x66d5000,298,0x66b2000,0x66f6000,0xef,0,1,2
0x66d4000,1922,0x66b2000,0x66f7000,0xbf,0,1,2
0x66d5000,298,0x66b2000,0x66f7000,0xef,0,1,2
0x66d4000,1922,0x66b3000,0x66f6000,0xbf,0,1,3
0x66d5000,298,0x66b3000,0x66f6000,0xef,0,1,3
0x66d5000,2738,0x66b3000,0x66f6000,0x20,1,1,3
0x66d4000,1922,0x66b3000,0x66f7000,0xbf,0,1,3
0x66d5000,298,0x66b3000,0x66f7000,0xef,0,1,3
0x66d5000,2738,0x66b3000,0x66f7000,0x20,1,1,3
0x66d1000,4003,0x66b6000,0x66f2000,0xfd,0,1,1
0x66d1000,4003,0x66b6000,0x66f3000,0xfd,0,1,1
0x66d1000,4003,0x66b7000,0x66f2000,0xfd,0,1,1
0x66d1000,4003,0x66b7000,0x66f3000,0xfd,0,1,1
0x66df000,313,0x66b8000,0x66fc000,0xfe,0,1,3
0x66de000,2914,0x66b8000,0x66fc000,0x8,1,1,3
0x66df000,2697,0x66b8000,0x66fc000,0x2,1,1,3
0x66df000,313,0x66b8000,0x66fd000,0xfe,0,1,1
0x66df000,313,0x66b9000,0x66fc000,0xfe,0,1,1
0x66df000,313,0x66b9000,0x66fd000,0xfe,0,1,2
0x66de000,2914,0x66b9000,0x66fd000,0x8,1,1,2
0x66dc000,10,0x66ba000,0x66fe000,0x7f,0,2,2
0x66dc000,2742,0x66ba000,0x66fe000,0xfb,0,2,2
0x66dc000,10,0x66bb000,0x66ff000,0x7f,0,2,2
0x66dc000,2742,0x66bb000,0x66ff000,0xfb,0,2,2
0x66da000,736,0x66bc000,0x66f8000,0xfe,0,1,2
0x66db000,4003,0x66bc000,0x66f8000,0x40,1,1,2
0x66da000,736,0x66bc000,0x66f9000,0xfe,0,1,2
0x66db000,4003,0x66bc000,0x66f9000,0x40,1,1,2
0x66da000,736,0x66bd000,0x66f8000,0xfe,0,1,1
0x66da000,736,0x66bd000,0x66f9000,0xfe,0,1,2
0x66db000,4003,0x66bd000,0x66f9000,0x40,1,1,2
0x66d8000,792,0x66bf000,0x66fb000,0x8,1,1,1
0x66eb000,2296,0x66c8000,0x6714000,0xbf,0,1,1
0x66eb000,2296,0x66c9000,0x6715000,0xbf,0,1,1
0x66e8000,866,0x66ca000,0x6716000,0xf7,0,2,4
0x66e8000,1456,0x66ca000,0x6716000,0xef,0,2,4
0x66e9000,1928,0x66ca000,0x6716000,0xfd,0,1,4
0x66e8000,2162,0x66ca000,0x6716000,0x1,1,1,4
0x66e8000,866,0x66cb000,0x6716000,0xf7,0,2,3
0x66e8000,1456,0x66cb000,0x6716000,0xef,0,2,3
0x66e9000,1928,0x66cb000,0x6716000,0xfd,0,1,3
0x66e8000,866,0x66cb000,0x6717000,0xf7,0,2,4
0x66e8000,1456,0x66cb000,0x6717000,0xef,0,2,4
0x66e9000,1928,0x66cb000,0x6717000,0xfd,0,1,4
0x66e8000,2162,0x66cb000,0x6717000,0x1,1,1,4
0x66ee000,2739,0x66cc000,0x6710000,0xf7,0,1,1
0x66ee000,2739,0x66cc000,0x6711000,0xf7,0,1,1
